character_id,name,epoch,civilization,region,active_year_start,active_year_end,primary_domain,historical_role,associated_event_id,power_index,network_centrality,legitimacy,rationality,charisma,ideological_extremity,momentum,duration_of_influence_months,actor_volatility,trigger_force,token_impact_score_tis,tim_foundation,tim_dynamics,tim_chaos,mule_clause_risk
CHR-CLA-0001,Centurion Saladin of Achaemenid Empire,classical_antiquity,Qin & Han Dynasties,East Asia,-18,6,Military,stabilizer,EVT-CLA-0001,0.6072,0.6753,0.8316,0.7482,0.4579,0.1519,0.4545,195,0.2019,0.5461,0.4422,0.8058,0.8353,0.75,false
CHR-CLA-0002,Imam Franklin of Ptolemaic Kingdom,classical_antiquity,Kushan Empire,Central & South Asia,-224,-181,Religious,catalyst,EVT-CLA-0002,0.635,0.7867,0.7461,0.6668,0.7744,0.5318,0.7003,38,0.4325,0.6611,0.6198,1.0877,1.1913,1.1395,false
CHR-CLA-0003,Imam Zhao of Kushan Empire,classical_antiquity,Roman Republic,Mediterranean,-380,-362,Religious,stabilizer,EVT-CLA-0003,0.7233,0.7149,0.9376,0.8467,0.6559,0.2283,0.5881,109,0.1908,0.6692,0.5228,0.8256,0.8558,0.7652,false
CHR-CLA-0004,Centurion Samsi-Adad of Carthaginian Republic,classical_antiquity,Parthian Empire,Persia,229,257,Military,catalyst,EVT-CLA-0004,0.5129,0.8641,0.6283,0.7023,0.9094,0.7929,0.832,17,0.5453,0.6406,0.69,1.1099,1.2156,1.1627,false
CHR-CLA-0005,Poet Laureate Colbert of Ptolemaic Kingdom,classical_antiquity,Seleucid Empire,Near East / Central Asia,-540,-529,Cultural,stabilizer,EVT-CLA-0005,0.6068,0.6018,0.8276,0.7252,0.6386,0.293,0.5859,62,0.2839,0.5984,0.5006,0.8201,0.8501,0.7601,false
CHR-CLA-0006,Synod Envoy Harsha of Carthaginian Republic,classical_antiquity,Ptolemaic Kingdom,Egypt / Levant,-210,-173,Religious,stabilizer,EVT-CLA-0006,0.7703,0.7339,0.8916,0.7502,0.6844,0.2812,0.5508,167,0.2655,0.6825,0.5534,0.8331,0.8636,0.7722,false
CHR-CLA-0007,Polymath Richelieu of Kingdom of Aksum,classical_antiquity,Parthian Empire,Persia,354,397,Scientific,wildcard,EVT-CLA-0007,0.4076,0.753,0.6325,0.4665,0.7256,0.6575,0.4043,33,0.5955,0.4063,0.5464,1.0139,1.0646,1.1153,false
CHR-CLA-0008,Chronicler Gao of Seleucid Empire,classical_antiquity,Kushan Empire,Central & South Asia,-719,-700,Cultural,disruptor,EVT-CLA-0008,0.8321,0.6763,0.5017,0.3503,0.7572,0.8814,0.7274,21,0.7656,0.7902,0.7467,1.2351,1.25,1.25,false
CHR-CLA-0009,Scribe Ashoka of Maurya Empire,classical_antiquity,Kingdom of Aksum,Horn of Africa,-122,-90,Cultural,disruptor,EVT-CLA-0009,0.6233,0.7218,0.3388,0.4544,0.8999,0.9193,0.8392,47,0.7324,0.7097,0.7563,1.2384,1.25,1.25,true
CHR-CLA-0010,Geometer Necker of Kushan Empire,classical_antiquity,Achaemenid Empire,Persia / Near East,105,146,Scientific,disruptor,EVT-CLA-0010,0.86,0.7741,0.2587,0.5618,0.7434,0.7499,0.7306,47,0.5941,0.8082,0.7607,1.24,1.25,1.25,true
CHR-CLA-0011,Senator Valdemar of Maurya Empire,classical_antiquity,Gupta Empire,South Asia,47,56,Political,architect,EVT-CLA-0011,0.8173,0.7075,0.8077,0.737,0.6031,0.3267,0.7852,157,0.2948,0.8045,0.6001,0.8446,0.8755,0.7828,false
CHR-CLA-0012,Mint Overseer Colbert of Roman Empire (Principate/Dominate),classical_antiquity,Parthian Empire,Persia,390,432,Economic,stabilizer,EVT-CLA-0012,0.6741,0.7438,0.7874,0.7099,0.4694,0.187,0.5535,133,0.2386,0.6259,0.4973,0.8193,0.8493,0.7594,false
CHR-CLA-0013,Legate Labarna of Ptolemaic Kingdom,classical_antiquity,Seleucid Empire,Near East / Central Asia,-396,-391,Military,wildcard,EVT-CLA-0013,0.7087,0.4829,0.2401,0.7644,0.8398,0.6409,0.8149,43,0.4383,0.7512,0.6817,1.0545,1.1072,1.16,false
CHR-CLA-0014,Pontiff Justinian of Roman Empire (Principate/Dominate),classical_antiquity,Parthian Empire,Persia,134,172,Religious,disruptor,EVT-CLA-0014,0.7621,0.5689,0.4621,0.4306,0.7185,0.7457,0.8322,21,0.6576,0.7901,0.7026,1.2199,1.25,1.25,false
CHR-CLA-0015,Senator Puduhepa of Achaemenid Empire,classical_antiquity,Classical Greece (Polis),Mediterranean,443,487,Political,stabilizer,EVT-CLA-0015,0.7374,0.551,0.8854,0.6975,0.6863,0.1606,0.4063,43,0.2316,0.6049,0.4816,0.8155,0.8453,0.7558,false
CHR-CLA-0016,Guild Master Samsi-Adad of Maurya Empire,classical_antiquity,Kushan Empire,Central & South Asia,-84,-43,Economic,architect,EVT-CLA-0016,0.8249,0.6785,0.885,0.8113,0.5348,0.4104,0.733,91,0.2996,0.7882,0.5807,0.8398,0.8706,0.7784,false
CHR-CLA-0017,Chancellor Wilhelm of Sasanian Empire,classical_antiquity,Sasanian Empire,Persia,-100,-77,Political,disruptor,EVT-CLA-0017,0.8155,0.7936,0.4234,0.3463,0.7941,0.8118,0.7324,27,0.7328,0.7823,0.764,1.2411,1.25,1.25,true
CHR-CLA-0018,Consul Sumner of Kingdom of Aksum,classical_antiquity,Seleucid Empire,Near East / Central Asia,-388,-369,Political,disruptor,EVT-CLA-0018,0.6148,0.771,0.3788,0.6379,0.7046,0.6792,0.7222,45,0.5207,0.6578,0.6655,1.2071,1.25,1.25,false
CHR-CLA-0019,Dramatist Ibn-Sina of Classical Greece (Polis),classical_antiquity,Seleucid Empire,Near East / Central Asia,-250,-210,Cultural,disruptor,EVT-CLA-0019,0.7381,0.6842,0.2012,0.5105,0.7579,0.6877,0.8339,33,0.5886,0.7764,0.7334,1.2305,1.25,1.25,false
CHR-CLA-0020,Dramatist Narmer of Classical Greece (Polis),classical_antiquity,Carthaginian Republic,Western Mediterranean,-318,-302,Cultural,catalyst,EVT-CLA-0020,0.6163,0.9043,0.545,0.5877,0.806,0.4571,0.7587,34,0.4347,0.6733,0.6591,1.1001,1.2049,1.1525,false
CHR-CLA-0021,Viceroy Nizam of Sasanian Empire,classical_antiquity,Maurya Empire,South Asia,-221,-197,Political,stabilizer,EVT-CLA-0021,0.6275,0.6345,0.8052,0.7567,0.5232,0.1287,0.624,145,0.186,0.6261,0.4751,0.8139,0.8436,0.7543,false
CHR-CLA-0022,Polymath Baldwin of Roman Republic,classical_antiquity,Seleucid Empire,Near East / Central Asia,-118,-89,Scientific,catalyst,EVT-CLA-0022,0.7903,0.8021,0.6075,0.7119,0.8665,0.5748,0.7287,13,0.4314,0.7656,0.697,1.1121,1.218,1.165,false
CHR-CLA-0023,Marshal Rajaraja of Kingdom of Aksum,classical_antiquity,Roman Empire (Principate/Dominate),Mediterranean / Europe,355,379,Military,catalyst,EVT-CLA-0023,0.7541,0.6665,0.5311,0.6215,0.7591,0.4997,0.8177,41,0.4391,0.7796,0.6658,1.1022,1.2072,1.1547,false
CHR-CLA-0024,Syndic Hamilton of Kushan Empire,classical_antiquity,Parthian Empire,Persia,-735,-721,Economic,catalyst,EVT-CLA-0024,0.675,0.9019,0.5122,0.624,0.7388,0.6622,0.7776,13,0.5191,0.716,0.6984,1.1125,1.2184,1.1655,false
CHR-CLA-0025,Arch-Engineer Labarna of Seleucid Empire,classical_antiquity,Gupta Empire,South Asia,-141,-100,Scientific,disruptor,EVT-CLA-0025,0.8317,0.8496,0.4487,0.4923,0.7753,0.6716,0.9509,36,0.5897,0.8794,0.7756,1.2451,1.25,1.25,true
CHR-CLA-0026,Viceroy Sherman of Ptolemaic Kingdom,classical_antiquity,Ptolemaic Kingdom,Egypt / Levant,36,77,Political,catalyst,EVT-CLA-0026,0.735,0.8827,0.4769,0.7557,0.9062,0.4623,0.8196,24,0.3533,0.7689,0.7089,1.1158,1.2221,1.1689,false
CHR-CLA-0027,Treasurer Samsi-Adad of Gupta Empire,classical_antiquity,Classical Greece (Polis),Mediterranean,-177,-145,Economic,catalyst,EVT-CLA-0027,0.7465,0.9117,0.6708,0.5914,0.9391,0.5292,0.84,15,0.4689,0.7839,0.723,1.1202,1.2269,1.1736,false
CHR-CLA-0028,Philosopher Zhang of Roman Republic,classical_antiquity,Qin & Han Dynasties,East Asia,-156,-143,Cultural,catalyst,EVT-CLA-0028,0.6599,0.8326,0.6304,0.6515,0.8929,0.686,0.7575,55,0.5173,0.699,0.6947,1.1113,1.2172,1.1643,false
CHR-CLA-0029,Merchant Prince Talleyrand of Qin & Han Dynasties,classical_antiquity,Seleucid Empire,Near East / Central Asia,-206,-175,Economic,wildcard,EVT-CLA-0029,0.7442,0.5034,0.5565,0.5746,0.3422,0.6881,0.7379,25,0.5567,0.7417,0.5924,1.0277,1.0791,1.1305,false
CHR-CLA-0030,Pontiff Song of Sasanian Empire,classical_antiquity,Seleucid Empire,Near East / Central Asia,-512,-476,Religious,stabilizer,EVT-CLA-0030,0.7017,0.6045,0.9125,0.7067,0.6166,0.1939,0.4269,132,0.2436,0.5918,0.4751,0.8139,0.8437,0.7543,false
CHR-CLA-0031,Treasurer Mentuhotep of Maurya Empire,classical_antiquity,Classical Greece (Polis),Mediterranean,-101,-73,Economic,catalyst,EVT-CLA-0031,0.6802,0.8824,0.7007,0.6269,0.7251,0.6703,0.8236,34,0.5217,0.7375,0.6838,1.1079,1.2134,1.1607,false
CHR-CLA-0032,Strategos Heinrich of Roman Empire (Principate/Dominate),classical_antiquity,Sasanian Empire,Persia,352,395,Military,architect,EVT-CLA-0032,0.859,0.8364,0.844,0.7517,0.5391,0.3253,0.7036,178,0.2868,0.7968,0.6034,0.8454,0.8764,0.7836,false
CHR-CLA-0033,Merchant Prince Al-Mansur of Parthian Empire,classical_antiquity,Sasanian Empire,Persia,-438,-431,Economic,architect,EVT-CLA-0033,0.6822,0.8791,0.7125,0.9046,0.5316,0.316,0.6388,165,0.2057,0.6649,0.5589,0.8345,0.865,0.7734,false
CHR-CLA-0034,Synod Envoy Mursili of Classical Greece (Polis),classical_antiquity,Achaemenid Empire,Persia / Near East,-743,-736,Religious,architect,EVT-CLA-0034,0.713,0.7201,0.8456,0.7488,0.6643,0.3565,0.5805,145,0.3038,0.66,0.5545,0.8334,0.8639,0.7724,false
CHR-CLA-0035,Legate Telepinu of Sasanian Empire,classical_antiquity,Gupta Empire,South Asia,76,105,Military,disruptor,EVT-CLA-0035,0.8313,0.7086,0.2811,0.3769,0.7176,0.9057,0.7917,24,0.7644,0.8155,0.7794,1.2464,1.25,1.25,true
CHR-CLA-0036,Master Sculptor Adams of Roman Republic,classical_antiquity,Seleucid Empire,Near East / Central Asia,40,58,Cultural,stabilizer,EVT-CLA-0036,0.6262,0.6401,0.7502,0.8261,0.5125,0.2951,0.4381,153,0.2345,0.551,0.4731,0.8134,0.8431,0.7539,false
CHR-CLA-0037,Centurion Eleanor of Achaemenid Empire,classical_antiquity,Roman Republic,Mediterranean,-541,-513,Military,catalyst,EVT-CLA-0037,0.5222,0.6648,0.5991,0.7715,0.7893,0.7659,0.8341,24,0.4972,0.6469,0.6402,1.0942,1.1984,1.1463,false
CHR-CLA-0038,Dramatist Averroes of Carthaginian Republic,classical_antiquity,Sasanian Empire,Persia,-598,-559,Cultural,disruptor,EVT-CLA-0038,0.7779,0.6902,0.4704,0.4133,0.7502,0.8662,0.9598,28,0.7264,0.8507,0.7667,1.242,1.25,1.25,true
CHR-CLA-0039,Viceroy Marshall of Maurya Empire,classical_antiquity,Roman Republic,Mediterranean,170,188,Political,architect,EVT-CLA-0039,0.867,0.6799,0.8834,0.7758,0.5113,0.3545,0.6032,168,0.2894,0.7615,0.562,0.8352,0.8658,0.7741,false
CHR-CLA-0040,High Priest Baldwin of Maurya Empire,classical_antiquity,Carthaginian Republic,Western Mediterranean,-229,-200,Religious,stabilizer,EVT-CLA-0040,0.7807,0.6494,0.8352,0.887,0.5345,0.1561,0.4045,59,0.1346,0.6302,0.479,0.8148,0.8446,0.7552,false
CHR-CLA-0041,Astronomer Hattusili of Sasanian Empire,classical_antiquity,Carthaginian Republic,Western Mediterranean,105,110,Scientific,wildcard,EVT-CLA-0041,0.8511,0.7078,0.3214,0.4992,0.4281,0.739,0.5268,31,0.6199,0.7214,0.6659,1.0498,1.1023,1.1548,false
CHR-CLA-0042,Mint Overseer Kheti of Kushan Empire,classical_antiquity,Seleucid Empire,Near East / Central Asia,299,322,Economic,wildcard,EVT-CLA-0042,0.8765,0.7793,0.4644,0.5846,0.4525,0.4726,0.6272,24,0.444,0.7768,0.6432,1.043,1.0951,1.1473,false
CHR-CLA-0043,Chronicler Aurelius of Sasanian Empire,classical_antiquity,Kingdom of Aksum,Horn of Africa,318,351,Cultural,disruptor,EVT-CLA-0043,0.9431,0.6012,0.2106,0.5673,0.731,0.6536,0.8934,8,0.5431,0.9232,0.7682,1.2425,1.25,1.25,true
CHR-CLA-0044,Senator Qian of Carthaginian Republic,classical_antiquity,Carthaginian Republic,Western Mediterranean,-562,-551,Political,stabilizer,EVT-CLA-0044,0.7939,0.6445,0.9182,0.7959,0.677,0.3014,0.5497,107,0.2528,0.6962,0.5428,0.8305,0.8609,0.7697,false
CHR-CLA-0045,Rhetorician Zhao of Kingdom of Aksum,classical_antiquity,Sasanian Empire,Persia,-131,-112,Cultural,wildcard,EVT-CLA-0045,0.5162,0.5825,0.3437,0.5363,0.2516,0.4626,0.6754,49,0.4631,0.5799,0.5137,1.0041,1.0543,1.1045,false
CHR-CLA-0046,Minister Qian of Parthian Empire,classical_antiquity,Seleucid Empire,Near East / Central Asia,77,99,Political,wildcard,EVT-CLA-0046,0.6469,0.8113,0.3972,0.7299,0.3818,0.1939,0.6148,70,0.232,0.6341,0.5358,1.0107,1.0613,1.1118,false
CHR-CLA-0047,Consul Wu of Kushan Empire,classical_antiquity,Qin & Han Dynasties,East Asia,-309,-271,Political,wildcard,EVT-CLA-0047,0.6151,0.4589,0.1582,0.5221,0.6967,0.2903,0.7192,24,0.3841,0.6567,0.5866,1.026,1.0773,1.1286,false
CHR-CLA-0048,Minister Necker of Carthaginian Republic,classical_antiquity,Sasanian Empire,Persia,-740,-704,Political,architect,EVT-CLA-0048,0.8847,0.873,0.7938,0.7296,0.7002,0.442,0.6219,61,0.3562,0.7796,0.6509,0.8571,0.8885,0.7944,false
CHR-CLA-0049,Abbess Leonidas of Achaemenid Empire,classical_antiquity,Ptolemaic Kingdom,Egypt / Levant,12,51,Religious,wildcard,EVT-CLA-0049,0.8621,0.369,0.5508,0.454,0.5601,0.2156,0.8191,41,0.3808,0.8449,0.5823,1.0247,1.0759,1.1272,false
CHR-CLA-0050,Guild Master Kheti of Maurya Empire,classical_antiquity,Roman Empire (Principate/Dominate),Mediterranean / Europe,-244,-215,Economic,disruptor,EVT-CLA-0050,0.7076,0.6866,0.3218,0.5994,0.7635,0.9394,0.7499,33,0.67,0.7245,0.7357,1.2313,1.25,1.25,false
CHR-CLA-0051,Polymath Qian of Parthian Empire,classical_antiquity,Classical Greece (Polis),Mediterranean,357,364,Scientific,wildcard,EVT-CLA-0051,0.7213,0.8157,0.4806,0.2637,0.6243,0.6489,0.8783,23,0.6926,0.7841,0.7142,1.0642,1.1175,1.1707,false
CHR-CLA-0052,Astronomer Theodosius of Carthaginian Republic,classical_antiquity,Roman Republic,Mediterranean,-225,-208,Scientific,catalyst,EVT-CLA-0052,0.7484,0.68,0.7107,0.7169,0.8958,0.5427,0.7089,13,0.4129,0.7326,0.6543,1.0986,1.2032,1.1509,false
CHR-CLA-0053,Geometer Mentuhotep of Gupta Empire,classical_antiquity,Roman Empire (Principate/Dominate),Mediterranean / Europe,-454,-449,Scientific,architect,EVT-CLA-0053,0.6748,0.7176,0.8188,0.8346,0.5258,0.2904,0.7534,156,0.2279,0.7062,0.5382,0.8294,0.8597,0.7687,false
CHR-CLA-0054,Patriarch Kautilya of Gupta Empire,classical_antiquity,Roman Republic,Mediterranean,-606,-599,Religious,wildcard,EVT-CLA-0054,0.8105,0.7191,0.4814,0.5708,0.8121,0.7487,0.8948,49,0.589,0.8442,0.7521,1.0756,1.1294,1.1832,true
CHR-CLA-0055,Imam Kautilya of Seleucid Empire,classical_antiquity,Ptolemaic Kingdom,Egypt / Levant,-442,-434,Religious,wildcard,EVT-CLA-0055,0.5783,0.6204,0.4978,0.2641,0.6761,0.3598,0.8702,68,0.5479,0.695,0.6106,1.0332,1.0848,1.1365,false
CHR-CLA-0056,Rhetorician Hammurabi of Classical Greece (Polis),classical_antiquity,Roman Republic,Mediterranean,-728,-723,Cultural,wildcard,EVT-CLA-0056,0.6826,0.8298,0.5722,0.507,0.4018,0.4902,0.8608,16,0.4916,0.7539,0.6255,1.0376,1.0895,1.1414,false
CHR-CLA-0057,Vizier Alexander of Qin & Han Dynasties,classical_antiquity,Kushan Empire,Central & South Asia,377,407,Political,wildcard,EVT-CLA-0057,0.4498,0.7733,0.6128,0.7398,0.3699,0.3377,0.4919,46,0.299,0.4666,0.4601,0.988,1.0374,1.0868,false
CHR-CLA-0058,Scribe Qian of Classical Greece (Polis),classical_antiquity,Maurya Empire,South Asia,-633,-623,Cultural,architect,EVT-CLA-0058,0.8419,0.834,0.7458,0.8176,0.5623,0.3617,0.7457,123,0.2721,0.8035,0.6206,0.8497,0.8807,0.7875,false
CHR-CLA-0059,Chronicler Rimush of Ptolemaic Kingdom,classical_antiquity,Gupta Empire,South Asia,3,39,Cultural,stabilizer,EVT-CLA-0059,0.7316,0.6515,0.7825,0.7764,0.4989,0.3414,0.4286,118,0.2825,0.6104,0.5039,0.821,0.851,0.7609,false
CHR-CLA-0060,Metallurgist Necker of Parthian Empire,classical_antiquity,Kingdom of Aksum,Horn of Africa,218,235,Scientific,stabilizer,EVT-CLA-0060,0.7252,0.7858,0.7239,0.8901,0.6646,0.2804,0.4686,125,0.1951,0.6226,0.5443,0.8309,0.8613,0.7701,false
CHR-CLA-0061,Dramatist Rimush of Sasanian Empire,classical_antiquity,Roman Republic,Mediterranean,-413,-382,Cultural,architect,EVT-CLA-0061,0.8017,0.8248,0.8777,0.7686,0.7461,0.3953,0.6222,47,0.3133,0.7299,0.6125,0.8477,0.8787,0.7856,false
CHR-CLA-0062,Merchant Prince Belisarius of Carthaginian Republic,classical_antiquity,Sasanian Empire,Persia,375,394,Economic,catalyst,EVT-CLA-0062,0.7893,0.7508,0.5228,0.592,0.772,0.6621,0.7673,32,0.5351,0.7805,0.7083,1.1156,1.2219,1.1687,false
CHR-CLA-0063,Guild Master Enheduanna of Gupta Empire,classical_antiquity,Roman Empire (Principate/Dominate),Mediterranean / Europe,-421,-407,Economic,stabilizer,EVT-CLA-0063,0.7142,0.5843,0.7418,0.7349,0.571,0.339,0.4573,60,0.302,0.6114,0.5104,0.8225,0.8526,0.7624,false
CHR-CLA-0064,Geometer Madison of Carthaginian Republic,classical_antiquity,Sasanian Empire,Persia,258,300,Scientific,stabilizer,EVT-CLA-0064,0.6464,0.7336,0.733,0.8488,0.4907,0.1688,0.5632,192,0.16,0.6131,0.4893,0.8174,0.8473,0.7576,false
CHR-CLA-0065,Patriarch Hathor of Kushan Empire,classical_antiquity,Gupta Empire,South Asia,-276,-256,Religious,catalyst,EVT-CLA-0065,0.6096,0.6566,0.4716,0.5782,0.7228,0.5804,0.7941,59,0.5011,0.6834,0.6394,1.0939,1.1981,1.146,false
