event_id,name,year,epoch,category,region,civilization,primary_actor_id,gdp_per_capita_usd,gini_inequality,political_event_density,historical_epoch_score_E,average_income_score,literacy_rate_pct,social_range_score_S,life_expectancy_years,birth_rate_per_1000,age_range_score_A,population_density_sqkm,urbanization_rate_pct,population_range_score_P,cth_before,cth_prelude,cth_during,cth_transition,cth_after,cth_global,delta_cth,black_swan_index,evei,ultra_cth,prediction,certainty_bracket,alphabreak,recommend_anchor,foundation_risk,dynamics_risk,chaos_risk,temporal_risk,butterfly_risk,mule_clause_active
EVT-CLA-0001,Secular Legal Separation in Kingdom of Aksum,-329,classical_antiquity,religious,Horn of Africa,Kingdom of Aksum,CHR-CLA-0001,768.5,0.662,0.232,0.475,0.652,18.5,0.4185,34.9,39.7,0.3987,33.1,7.8,0.2923,0.3946,0.3681,0.2099,0.3259,0.2485,0.3094,-0.1461,0.2724,0.5832,0.545746,CMN,BRACKET_BASE,false,true,0.56027274,0.36661317000000004,0.46935000000000004,,0.3174,false
EVT-CLA-0002,Pantheon Reformation of Kushan Empire,-9,classical_antiquity,religious,Central & South Asia,Kushan Empire,CHR-CLA-0002,1228.7,0.429,0.846,0.6061,0.828,9.1,0.4595,32.3,35.1,0.3431,11.5,5.1,0.2023,0.3572,0.4013,0.3117,0.4492,0.4259,0.3891,0.0687,0.4872,0.5776,0.660867,RMD,BRACKET_MEDIUM,false,true,0.47673890999999996,0.51190161,0.6286621499999999,,0.2902,false
EVT-CLA-0003,Educational Charter of Kingdom of Aksum,-737,classical_antiquity,transformation,Horn of Africa,Kingdom of Aksum,CHR-CLA-0003,686.4,0.41,0.658,0.379,0.658,19.8,0.428,31.1,37,0.3415,38.6,14.4,0.3364,0.2917,0.3355,0.2543,0.4489,0.4406,0.3542,0.1489,0.3785,0.6328,0.798778,RMD,BRACKET_HIGH,true,false,0.46588608000000004,0.37107488,0.37999832,,0.3138,false
EVT-CLA-0004,Fiscal Modernization in Kushan Empire,-590,classical_antiquity,transformation,Central & South Asia,Kushan Empire,CHR-CLA-0004,812.6,0.602,0.58,0.4121,0.53,17,0.35,32.2,43.5,0.3924,35.5,7.7,0.2969,0.308,0.3529,0.2496,0.4616,0.6363,0.4017,0.3283,0.2385,0.6937,0.896891,RMD,BRACKET_HIGH,true,false,0.47803393000000005,0.5464122,0.5125181600000001,,0.3589,false
EVT-CLA-0005,Mechanical Power Harnessing in Maurya Empire,-144,classical_antiquity,technological,South Asia,Maurya Empire,CHR-CLA-0005,1017.5,0.699,0.116,0.6315,0.544,11.3,0.3285,30.8,43.1,0.3749,38.9,6.5,0.2975,0.3325,0.3759,0.4643,0.5764,0.6355,0.4769,0.303,0.1885,0.6405,0.534095,CMN,BRACKET_BASE,false,true,0.46015811000000006,0.3765943,0.37731364,,0.3146,false
EVT-CLA-0006,Epidemic Fever Outbreak across Gupta Empire,-607,classical_antiquity,pandemic,South Asia,Gupta Empire,CHR-CLA-0006,1082.6,0.671,0.353,0.6035,0.415,19.2,0.3035,32.2,39.1,0.366,12.5,5.5,0.2103,0.4256,0.4044,0,0.1096,0.1882,0.2256,-0.2374,0.7048,0.7434,0.652004,RMD,BRACKET_MEDIUM,false,true,0.53976549,0.40010588,0.55737396,,0.3993,false
EVT-CLA-0007,Systemic Governance Breakdown in Seleucid Empire,151,classical_antiquity,collapse,Near East / Central Asia,Seleucid Empire,CHR-CLA-0007,789.8,0.431,0.294,0.5371,0.502,13.8,0.32,31.3,43.8,0.3845,26.4,5.8,0.2659,0.5268,0.4411,0.1325,0.1984,0.329,0.3256,-0.1978,0.4422,0.6611,0.570258,CMN,BRACKET_BASE,false,true,0.6844838900000001,0.49706174,0.77702951,,0.3937,false
EVT-CLA-0008,Secular Legal Separation in Seleucid Empire,285,classical_antiquity,religious,Near East / Central Asia,Seleucid Empire,CHR-CLA-0008,1049.9,0.699,0.636,0.4928,0.586,15.5,0.3705,34.8,40.8,0.4042,14.2,14.4,0.264,0.3587,0.3363,0.1882,0.27,0.5904,0.3487,0.2317,0.5147,0.6937,0.572473,CMN,BRACKET_BASE,false,true,0.8436968100000001,0.56475,0.64625,,0.3847,false
EVT-CLA-0009,Temple Bureaucracy Reorganization of Kushan Empire,-183,classical_antiquity,religious,Central & South Asia,Kushan Empire,CHR-CLA-0009,796.5,0.416,0.445,0.4998,0.761,11.9,0.44,31.8,38.3,0.3569,25.3,14.9,0.3084,0.4419,0.502,0.325,0.4926,0.3034,0.413,-0.1385,0.3592,0.6001,0.576281,CMN,BRACKET_BASE,false,true,0.69152256,0.55875,0.7982499999999999,,0.3144,true
EVT-CLA-0010,Maritime Hegemony Clash in Roman Empire (Principate/Dominate),-465,classical_antiquity,war,Mediterranean / Europe,Roman Empire (Principate/Dominate),CHR-CLA-0010,1073.6,0.603,0.113,0.6911,0.355,10.8,0.2315,33.4,40.7,0.3885,40.1,8.6,0.3102,0.4174,0.3347,0.0218,0.1776,0.2766,0.2456,-0.1408,0.4169,0.6136,0.488562,CMN,BRACKET_BASE,false,true,0.753672,0.576,0.8266249999999999,,0.3999,true
