character_id,name,epoch,civilization,region,active_year_start,active_year_end,primary_domain,historical_role,associated_event_id,power_index,network_centrality,legitimacy,rationality,charisma,ideological_extremity,momentum,duration_of_influence_months,actor_volatility,trigger_force,token_impact_score_tis,tim_foundation,tim_dynamics,tim_chaos,mule_clause_risk
CHR-CON-0001,Dramatist Necker of Sub-Saharan Africa,contemporary,Republic of India,South Asia,1966,1996,Cultural,wildcard,EVT-CON-0001,0.5306,0.8383,0.2045,0.6386,0.4932,0.736,0.4052,5,0.5487,0.4805,0.6012,1.0304,1.0819,1.1334,false
CHR-CON-0002,Polymath Wu of Latin America (Mercosur/Alliance),contemporary,Middle East & North Africa (MENA),Middle East,2001,2026,Scientific,stabilizer,EVT-CON-0002,0.7723,0.7882,0.865,0.8684,0.5819,0.2485,0.5471,54,0.19,0.6822,0.538,0.8294,0.8597,0.7687,false
CHR-CON-0003,Arch-Engineer Samsi-Adad of Southeast Asia (ASEAN),contemporary,Sub-Saharan Africa,Africa,1964,1989,Scientific,catalyst,EVT-CON-0003,0.6256,0.8119,0.6574,0.619,0.9144,0.7527,0.7762,17,0.5668,0.6858,0.698,1.1124,1.2183,1.1653,false
CHR-CON-0004,Dramatist Sun of Japan,contemporary,Republic of India,South Asia,2009,2026,Cultural,disruptor,EVT-CON-0004,0.7274,0.7057,0.2593,0.5169,0.8426,0.849,0.9206,20,0.666,0.8047,0.7778,1.2458,1.25,1.25,true
CHR-CON-0005,Synod Envoy Adams of Southeast Asia (ASEAN),contemporary,Southeast Asia (ASEAN),Southeast Asia,1989,2016,Religious,disruptor,EVT-CON-0005,0.9412,0.7829,0.3588,0.457,0.7273,0.7917,0.9511,15,0.6674,0.9452,0.8145,1.25,1.25,1.25,true
CHR-CON-0006,Scribe Rajaraja of People's Republic of China,contemporary,Global Transnational Institutions,Global,1981,1989,Cultural,stabilizer,EVT-CON-0006,0.6263,0.6587,0.7526,0.7065,0.5548,0.231,0.6325,210,0.2623,0.6288,0.5075,0.8219,0.8519,0.7617,false
CHR-CON-0007,Imam Adams of Sub-Saharan Africa,contemporary,European Union / Western Europe,Europe,2007,2026,Religious,stabilizer,EVT-CON-0007,0.7992,0.7961,0.8621,0.7542,0.5304,0.2628,0.5757,168,0.2543,0.7098,0.5506,0.8325,0.8629,0.7715,false
CHR-CON-0008,Minister Zhang of Southeast Asia (ASEAN),contemporary,Southeast Asia (ASEAN),Southeast Asia,1950,1986,Political,catalyst,EVT-CON-0008,0.8128,0.7532,0.5369,0.6672,0.9077,0.6639,0.8001,53,0.4983,0.8077,0.7349,1.124,1.231,1.1775,false
CHR-CON-0009,Philosopher Tariq of People's Republic of China,contemporary,European Union / Western Europe,Europe,1949,1954,Cultural,catalyst,EVT-CON-0009,0.5913,0.6564,0.7453,0.6575,0.8096,0.4631,0.927,15,0.4028,0.7256,0.6188,1.0874,1.191,1.1392,false
CHR-CON-0010,General Mursili of Japan,contemporary,European Union / Western Europe,Europe,1978,2004,Military,architect,EVT-CON-0010,0.7045,0.8338,0.692,0.9169,0.593,0.29,0.6735,172,0.1866,0.6921,0.5696,0.8371,0.8678,0.7759,false
CHR-CON-0011,Centurion Song of Sub-Saharan Africa,contemporary,Sub-Saharan Africa,Africa,1975,1984,Military,wildcard,EVT-CON-0011,0.5772,0.5193,0.1843,0.4091,0.2311,0.2996,0.6526,43,0.4453,0.6073,0.5108,1.0032,1.0534,1.1036,false
CHR-CON-0012,Chamberlain Ramesses of Sub-Saharan Africa,contemporary,European Union / Western Europe,Europe,1957,1997,Economic,catalyst,EVT-CON-0012,0.77,0.8426,0.6275,0.7595,0.8044,0.799,0.8836,20,0.5197,0.8154,0.7412,1.126,1.2332,1.1796,false
CHR-CON-0013,Archon Al-Mansur of European Union / Western Europe,contemporary,United States,North America,2011,2026,Political,catalyst,EVT-CON-0013,0.6782,0.8815,0.4843,0.7024,0.9177,0.5928,0.9031,42,0.4452,0.7682,0.7303,1.1225,1.2294,1.176,false
CHR-CON-0014,Patriarch Nizam of Republic of India,contemporary,USSR / Russian Federation,Eurasia,2011,2022,Religious,catalyst,EVT-CON-0014,0.6535,0.7721,0.6754,0.7314,0.7539,0.5447,0.7257,59,0.4067,0.6824,0.6287,1.0905,1.1944,1.1425,false
CHR-CON-0015,Polymath Necker of Global Transnational Institutions,contemporary,Latin America (Mercosur/Alliance),Latin America,2010,2026,Scientific,catalyst,EVT-CON-0015,0.5028,0.6563,0.4827,0.6037,0.7697,0.6754,0.8112,15,0.5358,0.6262,0.6341,1.0923,1.1963,1.1443,false
CHR-CON-0016,Warlord Tariq of Middle East & North Africa (MENA),contemporary,USSR / Russian Federation,Eurasia,1958,1990,Military,architect,EVT-CON-0016,0.7215,0.6009,0.6994,0.7577,0.7039,0.4189,0.6051,40,0.3306,0.6749,0.5719,0.8377,0.8683,0.7764,false
CHR-CON-0017,Mint Overseer Valdemar of Republic of India,contemporary,Southeast Asia (ASEAN),Southeast Asia,1957,1994,Economic,catalyst,EVT-CON-0017,0.6293,0.8647,0.6589,0.5557,0.7974,0.6987,0.8926,19,0.5715,0.7346,0.7017,1.1135,1.2196,1.1665,false
CHR-CON-0018,Master Sculptor Sherman of People's Republic of China,contemporary,USSR / Russian Federation,Eurasia,1983,2011,Cultural,wildcard,EVT-CON-0018,0.866,0.7668,0.6658,0.2699,0.8459,0.3329,0.7647,57,0.5315,0.8255,0.693,1.0579,1.1108,1.1637,false
CHR-CON-0019,Guild Master Qian of Middle East & North Africa (MENA),contemporary,Southeast Asia (ASEAN),Southeast Asia,2002,2007,Economic,wildcard,EVT-CON-0019,0.4073,0.674,0.2915,0.285,0.3744,0.2638,0.5322,40,0.4894,0.4573,0.4851,0.9955,1.0453,1.0951,false
