event_id,name,year,epoch,category,region,civilization,primary_actor_id,gdp_per_capita_usd,gini_inequality,political_event_density,historical_epoch_score_E,average_income_score,literacy_rate_pct,social_range_score_S,life_expectancy_years,birth_rate_per_1000,age_range_score_A,population_density_sqkm,urbanization_rate_pct,population_range_score_P,cth_before,cth_prelude,cth_during,cth_transition,cth_after,cth_global,delta_cth,black_swan_index,evei,ultra_cth,prediction,certainty_bracket,alphabreak,recommend_anchor,foundation_risk,dynamics_risk,chaos_risk,temporal_risk,butterfly_risk,mule_clause_active
EVT-CON-0001,Civic Restoration Revolt in Latin America (Mercosur/Alliance),1958,contemporary,revolution,Latin America,Latin America (Mercosur/Alliance),CHR-CON-0001,32507.3,0.347,0.168,0.7062,0.55,93,0.74,61.7,17.5,0.5541,373.2,40.4,0.6307,0.7223,0.5468,0.3079,0.4182,0.9001,0.5791,0.1778,0.767,0.6177,0.625987,CMN,BRACKET_BASE,false,true,0.49799232,0.57329881,0.69681432,,0.394,false
EVT-CON-0002,Caravan Route Pestilence in Middle East & North Africa (MENA),2013,contemporary,pandemic,Middle East,Middle East & North Africa (MENA),CHR-CON-0002,42535.5,0.507,0.594,0.6206,0.683,67.8,0.6805,65,17.1,0.5872,158.8,73.8,0.7358,0.7491,0.6708,0.27,0.3963,0.5986,0.537,-0.1505,0.6605,0.5932,0.659472,RMD,BRACKET_MEDIUM,false,true,0.38517336,0.43457834999999995,0.54585387,,0.4066,false
EVT-CON-0003,Provincial Autonomy Insurgency against USSR / Russian Federation,1977,contemporary,revolution,Eurasia,USSR / Russian Federation,CHR-CON-0003,35807.6,0.38,0.418,0.651,0.583,87.7,0.73,83.7,16.2,0.7832,569.8,43.9,0.6788,0.7452,0.6199,0.2687,0.4294,0.7243,0.5575,-0.0209,0.7284,0.4988,0.52856,CMN,BRACKET_BASE,false,true,0.6520888800000001,0.63217587,0.75091932,,0.3921,false
EVT-CON-0004,Decentralization Wave across Middle East & North Africa (MENA),1978,contemporary,collapse,Middle East,Middle East & North Africa (MENA),CHR-CON-0004,36584,0.415,0.888,0.5065,0.615,72.6,0.6705,70.5,10.1,0.6044,270.1,75.7,0.7838,0.7071,0.5999,0.306,0.3744,0.447,0.4869,-0.2601,0.4557,0.6172,0.494293,CMN,BRACKET_BASE,false,true,0.6491863800000001,0.602,0.9252499999999999,,0.3862,false
EVT-CON-0005,Secular Legal Separation in Latin America (Mercosur/Alliance),1987,contemporary,religious,Latin America,Latin America (Mercosur/Alliance),CHR-CON-0005,13200.4,0.549,0.683,0.3176,0.222,72.5,0.4735,83.7,20.9,0.8114,495.6,40,0.6492,0.5996,0.6215,0.494,0.5513,0.6232,0.5779,0.0236,0.5119,0.5303,0.528449,CMN,BRACKET_BASE,false,true,0.615375,0.55225,0.731125,,0.3116,false
EVT-CON-0006,Treaty System Implementation across Latin America (Mercosur/Alliance),2019,contemporary,transformation,Latin America,Latin America (Mercosur/Alliance),CHR-CON-0006,8783.6,0.409,0.112,0.4912,0.448,96.9,0.7085,73,20.3,0.6926,516.8,56.6,0.7352,0.5665,0.6023,0.5257,0.7329,0.7731,0.6401,0.2066,0.2253,0.514,0.650768,RMD,BRACKET_MEDIUM,false,true,0.39327914999999997,0.38761450000000003,0.33552885000000005,,0.3301,false
EVT-CON-0007,Printing & Communications Diffusion in Republic of India,1960,contemporary,technological,South Asia,Republic of India,CHR-CON-0007,33423.1,0.438,0.67,0.5366,0.783,69.3,0.738,75.3,21,0.7215,339,47.9,0.6612,0.5882,0.6348,0.7088,0.7842,0.9077,0.7247,0.3195,0.2398,0.5631,0.766441,RMD,BRACKET_HIGH,true,false,0.240426,0.3908937,0.3735603,,0.3223,false
EVT-CON-0008,Bureaucratic Consolidation of Latin America (Mercosur/Alliance),2004,contemporary,transformation,Latin America,Latin America (Mercosur/Alliance),CHR-CON-0008,46559.5,0.62,0.643,0.6082,0.422,84.1,0.6315,64.7,20.6,0.605,151.8,85.3,0.79,0.5492,0.6111,0.4669,0.6944,0.8457,0.6335,0.2965,0.3549,0.6021,0.671481,RMD,BRACKET_MEDIUM,false,true,0.43004240000000005,0.5703223000000001,0.561903,,0.3683,false
EVT-CON-0009,Urban Quarantine Emergency in Latin America (Mercosur/Alliance),1962,contemporary,pandemic,Latin America,Latin America (Mercosur/Alliance),CHR-CON-0009,10436.4,0.324,0.767,0.335,0.479,89.1,0.685,80.5,22.6,0.7871,543.6,71.4,0.8129,0.6879,0.6316,0.3181,0.4593,0.513,0.522,-0.1749,0.9119,0.6814,0.587305,CMN,BRACKET_BASE,false,true,0.67973374,0.5631048000000001,0.823072,,0.3901,false
EVT-CON-0010,Metallurgical Innovation Surge in Japan,2019,contemporary,technological,East Asia,Japan,CHR-CON-0010,46556.2,0.558,0.831,0.5703,0.429,86.4,0.6465,70.8,17.5,0.6521,501.4,41,0.655,0.5452,0.5821,0.6946,0.7561,0.8521,0.686,0.3069,0.1765,0.5595,0.903418,RMD,BRACKET_HIGH,true,false,0.18248779999999998,0.39233238000000004,0.38981215999999996,,0.313,false
EVT-CON-0011,Urban Quarantine Emergency in Middle East & North Africa (MENA),1984,contemporary,pandemic,Middle East,Middle East & North Africa (MENA),CHR-CON-0011,36057.3,0.347,0.337,0.6874,0.82,73.6,0.778,64.4,29.5,0.6552,534.2,52.7,0.7181,0.7979,0.7187,0.2889,0.52,0.677,0.6005,-0.1209,0.6964,0.5513,0.374174,CMN,BRACKET_BASE,false,true,0.5278838400000001,0.54260634,0.7679952399999999,,0.3957,false
EVT-CON-0012,Sanitation & Medical Breakthrough in Middle East & North Africa (MENA),1969,contemporary,technological,Middle East,Middle East & North Africa (MENA),CHR-CON-0012,20212,0.402,0.229,0.5609,0.772,78.8,0.78,67.3,19.1,0.624,127.9,67.3,0.6876,0.6081,0.6469,0.7084,0.8209,0.7885,0.7146,0.1804,0.3326,0.5158,0.771934,RMD,BRACKET_HIGH,true,false,0.31178939999999994,0.55259692,0.64783632,,0.2837,false
EVT-CON-0013,Grain Market Price Shock across Republic of India,2010,contemporary,economic,South Asia,Republic of India,CHR-CON-0013,40858,0.265,0.176,0.8035,0.844,82.2,0.833,71.2,12.6,0.627,186.2,60.3,0.6798,0.7718,0.737,0.6226,0.7903,0.7915,0.7426,0.0197,0.4003,0.4012,0.800411,RMD,BRACKET_HIGH,true,false,0.25402175,0.5649093000000001,0.6623232,,0.3371,false
EVT-CON-0014,Bureaucratic Consolidation of Middle East & North Africa (MENA),1996,contemporary,transformation,Middle East,Middle East & North Africa (MENA),CHR-CON-0014,28608.4,0.272,0.283,0.6592,0.681,79.3,0.737,77.3,28,0.7851,386.7,71.9,0.7907,0.6655,0.7274,0.6513,0.7892,0.8901,0.7447,0.2246,0.2496,0.4865,0.82029,RMD,BRACKET_HIGH,true,false,0.27404265000000005,0.5440492,0.49150350000000004,,0.3279,false
EVT-CON-0015,Popular Uprising of Japan,1991,contemporary,revolution,East Asia,Japan,CHR-CON-0015,5532.8,0.428,0.547,0.3258,0.781,70.8,0.7445,59.9,21.4,0.5581,140.6,54.5,0.6305,0.5918,0.4329,0.1985,0.4055,0.4698,0.4197,-0.122,0.762,0.6421,0.475968,CMN,BRACKET_BASE,false,true,0.60469728,0.56034692,0.78373107,,0.3993,false
EVT-CON-0016,Caravan Route Pestilence in USSR / Russian Federation,2011,contemporary,pandemic,Eurasia,USSR / Russian Federation,CHR-CON-0016,30100.9,0.432,0.317,0.6144,0.412,78.9,0.6005,67.4,31.6,0.7001,346.4,56.6,0.7063,0.6894,0.6632,0.3815,0.5604,0.6431,0.5875,-0.0463,0.7969,0.567,0.811644,RMD,BRACKET_HIGH,true,false,0.30207461999999996,0.40914296,0.5206538399999999,,0.3893,false
EVT-CON-0017,Frontier Campaign of Southeast Asia (ASEAN),1989,contemporary,war,Southeast Asia,Southeast Asia (ASEAN),CHR-CON-0017,7316.7,0.478,0.105,0.4594,0.215,67.9,0.447,77.5,31.4,0.8076,488,69.9,0.7976,0.7063,0.6021,0.2866,0.4143,0.6299,0.5278,-0.0764,0.4465,0.5258,0.676996,RMD,BRACKET_MEDIUM,false,true,0.39195199999999997,0.5984577200000001,0.7684902000000001,,0.4062,false
EVT-CON-0018,Frontier Campaign of Middle East & North Africa (MENA),1945,contemporary,war,Middle East,Middle East & North Africa (MENA),CHR-CON-0018,26843.9,0.532,0.402,0.5296,0.42,77,0.595,78.8,10.6,0.6968,525.3,47,0.6884,0.6001,0.5181,0.2051,0.3252,0.6406,0.4578,0.0405,0.6351,0.5374,0.744003,RMD,BRACKET_HIGH,true,false,0.40009778,0.54618036,0.7252178399999999,,0.4047,false
EVT-CON-0019,Astronomical Standardization by Japan,1975,contemporary,technological,East Asia,Japan,CHR-CON-0019,47150.4,0.343,0.823,0.6426,0.548,97.4,0.761,68.9,13.4,0.607,360.6,80.9,0.8307,0.6371,0.6732,0.7199,0.8039,0.9613,0.7591,0.3242,0.3127,0.5817,0.893185,RMD,BRACKET_HIGH,true,false,0.25415115000000005,0.47320730999999994,0.50911199,,0.3279,false
EVT-CON-0020,Systemic Governance Breakdown in United States,1955,contemporary,collapse,North America,United States,CHR-CON-0020,14009.1,0.566,0.469,0.384,0.397,69.1,0.544,82.8,19.3,0.7921,99.6,54.9,0.6075,0.7117,0.6011,0.3421,0.3754,0.416,0.4893,-0.2957,0.4096,0.6341,0.74985,RMD,BRACKET_HIGH,true,false,0.48325242,0.5905998,0.87890751,,0.3654,false
