character_id,name,epoch,civilization,region,active_year_start,active_year_end,primary_domain,historical_role,associated_event_id,power_index,network_centrality,legitimacy,rationality,charisma,ideological_extremity,momentum,duration_of_influence_months,actor_volatility,trigger_force,token_impact_score_tis,tim_foundation,tim_dynamics,tim_chaos,mule_clause_risk
CHR-EAR-0001,Imam Necker of Ming & Qing Dynasties,early_modern,Tokugawa Shogunate,Japan,1643,1652,Religious,architect,EVT-EAR-0001,0.8141,0.7203,0.6884,0.8855,0.5378,0.3242,0.5955,50,0.2194,0.7266,0.5671,0.8365,0.8671,0.7753,false
CHR-EAR-0002,Physician Sun of Tokugawa Shogunate,early_modern,Polish-Lithuanian Commonwealth,Eastern Europe,1548,1575,Scientific,architect,EVT-EAR-0002,0.7445,0.619,0.72,0.7444,0.6861,0.3866,0.8141,166,0.3211,0.7723,0.6028,0.8453,0.8762,0.7834,false
CHR-EAR-0003,Master Sculptor Enheduanna of Ming & Qing Dynasties,early_modern,Portuguese Empire,Atlantic / Indian Ocean,1711,1750,Cultural,disruptor,EVT-EAR-0003,0.8616,0.6819,0.3838,0.3438,0.8866,0.9448,0.9498,46,0.8005,0.8969,0.8293,1.25,1.25,1.25,true
CHR-EAR-0004,Arch-Engineer Constantine of Dutch Republic,early_modern,Tokugawa Shogunate,Japan,1785,1790,Scientific,disruptor,EVT-EAR-0004,0.6042,0.644,0.4017,0.4509,0.9133,0.6741,0.8108,15,0.6116,0.6869,0.6947,1.2172,1.25,1.25,false
CHR-EAR-0005,Arch-Engineer Averroes of Polish-Lithuanian Commonwealth,early_modern,Polish-Lithuanian Commonwealth,Eastern Europe,1757,1785,Scientific,catalyst,EVT-EAR-0005,0.5857,0.8429,0.6737,0.6369,0.7942,0.6907,0.8371,60,0.5269,0.6863,0.6719,1.1042,1.2093,1.1567,false
CHR-EAR-0006,Chronicler Belisarius of Tsardom & Russian Empire,early_modern,Ming & Qing Dynasties,East Asia,1602,1611,Cultural,wildcard,EVT-EAR-0006,0.8305,0.7531,0.2161,0.2237,0.6351,0.3125,0.7696,26,0.5444,0.8062,0.6954,1.0586,1.1115,1.1645,false
CHR-EAR-0007,Archon Theodosius of Mughal Empire,early_modern,Ottoman Empire,Southeast Europe / Near East,1519,1556,Political,stabilizer,EVT-EAR-0007,0.7623,0.6838,0.8345,0.8534,0.6741,0.1203,0.6155,171,0.1335,0.7036,0.5285,0.827,0.8573,0.7665,false
CHR-EAR-0008,General Chandra of Dutch Republic,early_modern,Portuguese Empire,Atlantic / Indian Ocean,1590,1596,Military,architect,EVT-EAR-0008,0.7694,0.6787,0.7221,0.915,0.7265,0.2355,0.5626,93,0.1603,0.6867,0.5549,0.8335,0.864,0.7725,false
CHR-EAR-0009,Geometer Justinian of Tsardom & Russian Empire,early_modern,Kingdom of France (Bourbon),Western Europe,1724,1767,Scientific,architect,EVT-EAR-0009,0.6647,0.6054,0.8053,0.8032,0.5915,0.191,0.6214,121,0.1939,0.6474,0.4969,0.8192,0.8492,0.7593,false
CHR-EAR-0010,Pontiff Sherman of British Empire (Early),early_modern,Dutch Republic,Northwestern Europe,1608,1650,Religious,architect,EVT-EAR-0010,0.8873,0.7069,0.7122,0.7434,0.7229,0.3827,0.6147,60,0.3197,0.7783,0.6275,0.8514,0.8825,0.7891,false
CHR-EAR-0011,Vizier Song of British Empire (Early),early_modern,Safavid Empire,Persia,1509,1525,Political,stabilizer,EVT-EAR-0011,0.5984,0.73,0.7791,0.8403,0.5256,0.2785,0.6022,234,0.2191,0.5999,0.5001,0.82,0.85,0.76,false
CHR-EAR-0012,Alchemist Ashoka of Tsardom & Russian Empire,early_modern,Mughal Empire,South Asia,1648,1684,Scientific,architect,EVT-EAR-0012,0.8859,0.6471,0.8895,0.8821,0.7752,0.2834,0.6067,138,0.2007,0.7742,0.5853,0.841,0.8717,0.7794,false
CHR-EAR-0013,Philosopher Eleanor of Ottoman Empire,early_modern,Ming & Qing Dynasties,East Asia,1574,1581,Cultural,catalyst,EVT-EAR-0013,0.8063,0.8404,0.6584,0.5536,0.798,0.6582,0.8826,21,0.5523,0.8368,0.7349,1.124,1.2311,1.1775,false
CHR-EAR-0014,Centurion Aurelius of Portuguese Empire,early_modern,Polish-Lithuanian Commonwealth,Eastern Europe,1543,1566,Military,wildcard,EVT-EAR-0014,0.7528,0.4586,0.3225,0.2822,0.5572,0.419,0.8019,29,0.5684,0.7724,0.6273,1.0382,1.0901,1.142,false
CHR-EAR-0015,Governor Ibn-Sina of Polish-Lithuanian Commonwealth,early_modern,Polish-Lithuanian Commonwealth,Eastern Europe,1604,1623,Political,stabilizer,EVT-EAR-0015,0.726,0.6899,0.8583,0.8821,0.6454,0.1595,0.6668,68,0.1387,0.7023,0.5258,0.8263,0.8566,0.7659,false
