event_id,name,year,epoch,category,region,civilization,primary_actor_id,gdp_per_capita_usd,gini_inequality,political_event_density,historical_epoch_score_E,average_income_score,literacy_rate_pct,social_range_score_S,life_expectancy_years,birth_rate_per_1000,age_range_score_A,population_density_sqkm,urbanization_rate_pct,population_range_score_P,cth_before,cth_prelude,cth_during,cth_transition,cth_after,cth_global,delta_cth,black_swan_index,evei,ultra_cth,prediction,certainty_bracket,alphabreak,recommend_anchor,foundation_risk,dynamics_risk,chaos_risk,temporal_risk,butterfly_risk,mule_clause_active
EVT-EAR-0001,Imperial Unification of Tokugawa Shogunate,1774,early_modern,transformation,Japan,Tokugawa Shogunate,CHR-EAR-0001,1389.8,0.47,0.501,0.448,0.426,39.3,0.4095,29.6,42.7,0.3596,23.1,17.4,0.3143,0.2841,0.3216,0.2413,0.485,0.4293,0.3523,0.1452,0.1995,0.5757,0.799886,RMD,BRACKET_HIGH,true,false,0.33819695,0.38265123,0.36353817,,0.3218,false
EVT-EAR-0002,Imperial Unification of Dutch Republic,1742,early_modern,transformation,Northwestern Europe,Dutch Republic,CHR-EAR-0002,1240.1,0.776,0.117,0.4328,0.697,37.8,0.5375,39.6,35.3,0.4229,42.6,18.3,0.3631,0.3319,0.399,0.3246,0.5566,0.438,0.41,0.1061,0.3506,0.566,0.531892,CMN,BRACKET_BASE,false,true,0.47379065000000004,0.38912041999999997,0.40219755999999995,,0.3081,false
EVT-EAR-0003,Mercantile Tariff Overhaul across Portuguese Empire,1684,early_modern,economic,Atlantic / Indian Ocean,Portuguese Empire,CHR-EAR-0003,2385.3,0.595,0.442,0.6851,0.394,51.6,0.455,28.5,40.8,0.3363,24.4,23.7,0.3497,0.4949,0.432,0.332,0.4499,0.6743,0.4766,0.1794,0.4584,0.62,0.493547,CMN,BRACKET_BASE,false,true,0.7192500000000001,0.5665,0.63875,,0.3738,false
EVT-EAR-0004,Radical Assembly Schism in Ming & Qing Dynasties,1764,early_modern,revolution,East Asia,Ming & Qing Dynasties,CHR-EAR-0004,1268.3,0.437,0.22,0.5108,0.776,19.2,0.484,28.3,34.5,0.2964,78.8,8.2,0.3571,0.4605,0.3294,0,0.2186,0.6548,0.3327,0.1943,0.3735,0.6346,0.70929,RMD,BRACKET_HIGH,false,false,0.4966176,0.6479999999999999,0.74675,,0.3992,false
EVT-EAR-0005,Canal Infrastructure Boom in Spanish Empire,1664,early_modern,economic,Iberia / Americas,Spanish Empire,CHR-EAR-0005,1813.1,0.629,0.805,0.4183,0.75,42.3,0.5865,32.6,42.1,0.3883,49.7,11.4,0.3397,0.4259,0.3326,0.1859,0.3186,0.2086,0.2943,-0.2173,0.2788,0.6081,0.466274,CMN,BRACKET_BASE,false,true,0.7326367,0.5381385000000001,0.76272798,,0.337,true
EVT-EAR-0006,Silver Flotilla Currency Shock in Tokugawa Shogunate,1719,early_modern,economic,Japan,Tokugawa Shogunate,CHR-EAR-0006,1100.3,0.69,0.446,0.3238,0.306,16.5,0.2355,29.4,42.5,0.3562,93.5,11.8,0.3875,0.3367,0.304,0.0969,0.2285,0.1107,0.2154,-0.226,0.4097,0.7171,0.524256,CMN,BRACKET_BASE,false,true,0.66670628,0.48494745,0.7764886,,0.3388,true
EVT-EAR-0007,Printing & Communications Diffusion in Kingdom of France (Bourbon),1657,early_modern,technological,Western Europe,Kingdom of France (Bourbon),CHR-EAR-0007,1069.8,0.54,0.685,0.2892,0.518,24.6,0.382,39.5,40.4,0.4524,85.8,11.1,0.3777,0.2936,0.3487,0.4016,0.4826,0.6548,0.4363,0.3612,0.3798,0.7515,0.754445,RMD,BRACKET_HIGH,true,false,0.4973578,0.37644043,0.36968295,,0.333,false
EVT-EAR-0008,Institutional Dissolution of Tokugawa Shogunate,1729,early_modern,collapse,Japan,Tokugawa Shogunate,CHR-EAR-0008,1787.8,0.725,0.113,0.5906,0.838,16.3,0.5005,30.1,34.2,0.314,67.1,9.3,0.351,0.5465,0.4433,0.0753,0.1351,0.315,0.303,-0.2315,0.4529,0.6575,0.573188,CMN,BRACKET_BASE,false,true,0.61070545,0.4185216,0.558054,,0.4075,false
EVT-EAR-0009,Continental Standoff of Portuguese Empire,1751,early_modern,war,Atlantic / Indian Ocean,Portuguese Empire,CHR-EAR-0009,955.7,0.602,0.731,0.2274,0.429,50.6,0.4675,29.4,38.7,0.3334,51.6,17.5,0.3729,0.4054,0.3383,0.0601,0.1189,0.4739,0.2793,0.0685,0.5702,0.6553,0.587351,CMN,BRACKET_BASE,false,true,0.62431232,0.39708592,0.44365899000000003,,0.4075,false
EVT-EAR-0010,Agricultural Plague Wave in British Empire (Early),1651,early_modern,pandemic,British Isles / Global,British Empire (Early),CHR-EAR-0010,1457.5,0.687,0.752,0.3251,0.597,30,0.4485,36.4,40.8,0.4214,26.2,16.5,0.3189,0.4674,0.44,0.113,0.255,0.4405,0.3432,-0.0269,0.9336,0.6987,0.722577,RMD,BRACKET_HIGH,false,false,0.49764330000000007,0.40762675,0.50676002,,0.4021,false
