character_id,name,epoch,civilization,region,active_year_start,active_year_end,primary_domain,historical_role,associated_event_id,power_index,network_centrality,legitimacy,rationality,charisma,ideological_extremity,momentum,duration_of_influence_months,actor_volatility,trigger_force,token_impact_score_tis,tim_foundation,tim_dynamics,tim_chaos,mule_clause_risk
CHR-MED-0001,Chamberlain Zhang of Umayyad Caliphate (Al-Andalus),medieval,Classic Maya & Postclassic,Mesoamerica,1077,1083,Economic,stabilizer,EVT-MED-0001,0.6471,0.732,0.8345,0.7587,0.5345,0.2158,0.482,157,0.2285,0.5811,0.485,0.8163,0.8462,0.7566,false
CHR-MED-0002,Astronomer Song of Kamakura / Muromachi Japan,medieval,Song Dynasty,East Asia,1308,1331,Scientific,wildcard,EVT-MED-0002,0.6831,0.7973,0.4456,0.203,0.3367,0.3847,0.6084,24,0.5909,0.6532,0.5851,1.0255,1.0768,1.1281,false
CHR-MED-0003,Metallurgist Lafayette of Mongol Empire / Ilkhanate,medieval,Khmer Empire,Southeast Asia,1455,1472,Scientific,architect,EVT-MED-0003,0.6799,0.7014,0.8468,0.9166,0.627,0.4008,0.6314,38,0.2421,0.6605,0.5436,0.8307,0.8611,0.7699,false
CHR-MED-0004,Poet Laureate Theodosius of Classic Maya & Postclassic,medieval,Holy Roman Empire,Central Europe,797,813,Cultural,stabilizer,EVT-MED-0004,0.6173,0.757,0.7548,0.7432,0.6158,0.3144,0.6375,164,0.2856,0.6254,0.5404,0.8299,0.8603,0.7692,false
CHR-MED-0005,Chronicler Thutmose of Khmer Empire,medieval,Holy Roman Empire,Central Europe,1047,1078,Cultural,stabilizer,EVT-MED-0005,0.7497,0.7743,0.9021,0.7297,0.4778,0.28,0.4923,216,0.2752,0.6468,0.5144,0.8235,0.8537,0.7633,false
CHR-MED-0006,Customs Director Naram-Sin of Holy Roman Empire,medieval,Kamakura / Muromachi Japan,East Asia,1231,1265,Economic,stabilizer,EVT-MED-0006,0.7414,0.586,0.722,0.8992,0.4647,0.122,0.4571,186,0.1114,0.6277,0.4627,0.8108,0.8405,0.7515,false
CHR-MED-0007,Warlord Hathor of Song Dynasty,medieval,Byzantine Empire,Eastern Mediterranean,1453,1481,Military,wildcard,EVT-MED-0007,0.6052,0.4377,0.6676,0.3446,0.245,0.7426,0.8629,40,0.699,0.7083,0.5605,1.0182,1.0691,1.12,false
CHR-MED-0008,Strategos Samudra of Holy Roman Empire,medieval,Classic Maya & Postclassic,Mesoamerica,735,759,Military,stabilizer,EVT-MED-0008,0.6049,0.7231,0.7817,0.8145,0.5299,0.2939,0.6127,164,0.2397,0.608,0.5063,0.8215,0.8516,0.7614,false
CHR-MED-0009,Physician Otto of Kingdom of England,medieval,Mongol Empire / Ilkhanate,Eurasian Steppe,777,804,Scientific,disruptor,EVT-MED-0009,0.8248,0.6939,0.4234,0.4289,0.9286,0.8999,0.862,48,0.7355,0.8397,0.8001,1.25,1.25,1.25,true
CHR-MED-0010,General Necker of Chola Dynasty,medieval,Song Dynasty,East Asia,840,852,Military,stabilizer,EVT-MED-0010,0.6735,0.7596,0.9198,0.8457,0.4991,0.3001,0.6081,181,0.2272,0.6473,0.5091,0.8222,0.8523,0.7621,false
