event_id,name,year,epoch,category,region,civilization,primary_actor_id,gdp_per_capita_usd,gini_inequality,political_event_density,historical_epoch_score_E,average_income_score,literacy_rate_pct,social_range_score_S,life_expectancy_years,birth_rate_per_1000,age_range_score_A,population_density_sqkm,urbanization_rate_pct,population_range_score_P,cth_before,cth_prelude,cth_during,cth_transition,cth_after,cth_global,delta_cth,black_swan_index,evei,ultra_cth,prediction,certainty_bracket,alphabreak,recommend_anchor,foundation_risk,dynamics_risk,chaos_risk,temporal_risk,butterfly_risk,mule_clause_active
EVT-MED-0001,Palatial Collapse of Kievan Rus,601,medieval,collapse,Eastern Europe,Kievan Rus,CHR-MED-0001,1075.1,0.632,0.353,0.572,0.819,13.7,0.478,28.9,39.8,0.3346,64,14,0.371,0.5827,0.4752,0.2252,0.2731,0.2808,0.3674,-0.3019,0.7589,0.7751,0.585889,CMN,BRACKET_BASE,false,true,0.6167962800000001,0.38874427999999994,0.5770588200000001,,0.3548,false
EVT-MED-0002,Mechanical Power Harnessing in Kamakura / Muromachi Japan,1475,medieval,technological,East Asia,Kamakura / Muromachi Japan,CHR-MED-0002,899.3,0.671,0.118,0.5461,0.219,14.1,0.18,27.5,35.5,0.2938,16.4,12.5,0.265,0.235,0.2669,0.3116,0.4592,0.3757,0.3297,0.1407,0.3714,0.6458,0.553336,CMN,BRACKET_BASE,false,true,0.6943660500000001,0.46474688,0.62147029,,0.2809,false
EVT-MED-0003,Temple Bureaucracy Reorganization of Abbasid Caliphate,1440,medieval,religious,Middle East,Abbasid Caliphate,CHR-MED-0003,545.1,0.693,0.322,0.3076,0.534,17.5,0.3545,29.8,35.5,0.3185,30,9,0.2912,0.2793,0.2676,0.1009,0.2359,0.151,0.2069,-0.1283,0.2796,0.6221,0.742828,RMD,BRACKET_HIGH,true,false,0.41925429000000003,0.37061744,0.46432669,,0.3178,false
EVT-MED-0004,Temple Bureaucracy Reorganization of Khmer Empire,1259,medieval,religious,Southeast Asia,Khmer Empire,CHR-MED-0004,1227.2,0.687,0.653,0.5388,0.666,17.8,0.422,26.3,37.1,0.2904,41.4,10.3,0.321,0.3682,0.3321,0.162,0.3095,0.2686,0.2881,-0.0996,0.2239,0.5521,0.772532,RMD,BRACKET_HIGH,true,false,0.42300003,0.37844596999999996,0.46005851999999997,,0.3385,false
EVT-MED-0005,Agricultural Plague Wave in Kievan Rus,1416,medieval,pandemic,Eastern Europe,Kievan Rus,CHR-MED-0005,863.5,0.7,0.142,0.5129,0.766,13,0.448,28,41,0.3322,32.7,13.8,0.3214,0.4433,0.414,0,0.1501,0.1893,0.2393,-0.254,0.82,0.7782,0.590599,CMN,BRACKET_BASE,false,true,0.64900035,0.39568995,0.5550717599999999,,0.4007,false
EVT-MED-0006,Strategic Siege of Byzantine Empire,639,medieval,war,Eastern Mediterranean,Byzantine Empire,CHR-MED-0006,1241.1,0.578,0.813,0.5302,0.207,13.8,0.1725,35.5,35.1,0.3775,61.9,9.9,0.3481,0.3374,0.2518,0,0.2,0.4535,0.2485,0.1161,0.4387,0.6403,0.619101,CMN,BRACKET_BASE,false,true,0.51583096,0.38688215,0.41542919999999994,,0.4047,false
EVT-MED-0007,Silver Flotilla Currency Shock in Byzantine Empire,721,medieval,economic,Eastern Mediterranean,Byzantine Empire,CHR-MED-0007,850.8,0.74,0.892,0.2698,0.269,17.8,0.2235,30.1,39.1,0.3434,24.2,6,0.2606,0.2751,0.2008,0.0094,0.1042,0.1884,0.1556,-0.0867,0.6396,0.7112,0.718524,RMD,BRACKET_HIGH,false,false,0.6761866200000001,0.46024754999999995,0.691264,,0.3673,false
EVT-MED-0008,Bureaucratic Consolidation of Kievan Rus,1335,medieval,transformation,Eastern Europe,Kievan Rus,CHR-MED-0008,622.5,0.607,0.268,0.3869,0.778,15.6,0.467,32,44.8,0.398,46.6,7.4,0.3151,0.2963,0.3256,0.2554,0.4399,0.5806,0.3796,0.2843,0.1421,0.6313,0.624407,CMN,BRACKET_BASE,false,true,0.5201738,0.37981360000000003,0.31384908,,0.3448,false
EVT-MED-0009,Mercantile Tariff Overhaul across Song Dynasty,755,medieval,economic,East Asia,Song Dynasty,CHR-MED-0009,985.1,0.716,0.597,0.4302,0.754,13,0.442,33.7,42.7,0.4037,24.7,4.8,0.2561,0.3713,0.2896,0.0811,0.1703,0.3876,0.26,0.0163,0.5471,0.5842,0.5479,CMN,BRACKET_BASE,false,true,0.82175,0.569125,0.7442500000000001,,0.3938,true
EVT-MED-0010,Metallurgical Innovation Surge in Holy Roman Empire,830,medieval,technological,Central Europe,Holy Roman Empire,CHR-MED-0010,620.5,0.5,0.259,0.4207,0.491,8.3,0.287,31.1,39.8,0.3583,18,6.6,0.2422,0.2795,0.3,0.352,0.4706,0.4182,0.3641,0.1387,0.1627,0.5857,0.635444,RMD,BRACKET_MEDIUM,false,true,0.51831488,0.36896067,0.39126214,,0.2774,false
