event_id,name,year,epoch,category,region,civilization,primary_actor_id,gdp_per_capita_usd,gini_inequality,political_event_density,historical_epoch_score_E,average_income_score,literacy_rate_pct,social_range_score_S,life_expectancy_years,birth_rate_per_1000,age_range_score_A,population_density_sqkm,urbanization_rate_pct,population_range_score_P,cth_before,cth_prelude,cth_during,cth_transition,cth_after,cth_global,delta_cth,black_swan_index,evei,ultra_cth,prediction,certainty_bracket,alphabreak,recommend_anchor,foundation_risk,dynamics_risk,chaos_risk,temporal_risk,butterfly_risk,mule_clause_active
EVT-MOD-0001,Secular Legal Separation in Latin American Republics,1807,modern,religious,South America,Latin American Republics,CHR-MOD-0001,4205.4,0.67,0.162,0.5439,0.705,75,0.7275,63.8,32.2,0.6649,118.9,54.9,0.6204,0.625,0.6955,0.5215,0.6513,0.5219,0.603,-0.1031,0.405,0.4965,0.658601,RMD,BRACKET_MEDIUM,false,true,0.44103246,0.48836008,0.70889374,,0.3044,false
EVT-MOD-0002,Continental Standoff of Late Ottoman Empire,1905,modern,war,Near East,Late Ottoman Empire,CHR-MOD-0002,2224.8,0.693,0.105,0.4175,0.258,71.8,0.488,39.9,34.7,0.4225,46.6,32,0.4381,0.4418,0.3281,0.138,0.2453,0.5635,0.3433,0.1217,0.688,0.6685,0.83591,RMD,BRACKET_HIGH,true,false,0.41082844,0.402752,0.44912907,,0.4031,false
EVT-MOD-0003,Secular Legal Separation in Empire of Japan (Meiji/Imperial),1936,modern,religious,East Asia,Empire of Japan (Meiji/Imperial),CHR-MOD-0003,5980.8,0.402,0.656,0.5985,0.772,60.3,0.6875,55.2,23.1,0.5177,119.7,26.7,0.4798,0.5321,0.5522,0.4095,0.583,0.7053,0.5564,0.1732,0.5114,0.5808,0.909585,RMD,BRACKET_HIGH,true,false,0.3637248,0.38413284000000003,0.39417663999999997,,0.3599,false
EVT-MOD-0004,Frontier Campaign of Kingdom of Italy,1826,modern,war,Southern Europe,Kingdom of Italy,CHR-MOD-0004,3998.3,0.387,0.47,0.5221,0.494,49.8,0.496,49.9,31.7,0.5122,69.5,21.9,0.4165,0.492,0.4037,0.1787,0.3169,0.205,0.3193,-0.287,0.4976,0.6798,0.569618,CMN,BRACKET_BASE,false,true,0.5783521,0.38627652,0.55620552,,0.3559,false
EVT-MOD-0005,Maritime Hegemony Clash in Late Ottoman Empire,1807,modern,war,Near East,Late Ottoman Empire,CHR-MOD-0005,4129.1,0.719,0.533,0.4126,0.518,48.7,0.5025,51.6,24,0.4843,123.3,19.3,0.445,0.5401,0.4746,0.275,0.3401,0.6438,0.4547,0.1037,0.4843,0.5972,0.815904,RMD,BRACKET_HIGH,true,false,0.31255560000000004,0.40191726,0.43068176,,0.3965,false
EVT-MOD-0006,Grain Market Price Shock across British Empire (Industrial/Victorian),1887,modern,economic,Global,British Empire (Industrial/Victorian),CHR-MOD-0006,5214.3,0.494,0.325,0.6174,0.214,58.5,0.3995,46.3,27.3,0.447,162.7,21.6,0.4766,0.5464,0.4783,0.3587,0.5256,0.6742,0.5166,0.1278,0.5459,0.6159,0.499378,CMN,BRACKET_BASE,false,true,0.50758536,0.49180411000000007,0.62124336,,0.3741,false
EVT-MOD-0007,Mechanical Power Harnessing in Kingdom of Italy,1940,modern,technological,Southern Europe,Kingdom of Italy,CHR-MOD-0007,2768.4,0.421,0.801,0.3278,0.839,42,0.6295,55.5,32.9,0.5797,90.5,42.7,0.5396,0.4754,0.5016,0.5621,0.6876,0.7057,0.5865,0.2303,0.3562,0.6129,0.553809,CMN,BRACKET_BASE,false,true,0.46745814,0.37702288,0.398635,,0.3025,false
EVT-MOD-0008,Decentralization Wave across Russian Empire / USSR,1858,modern,collapse,Eurasia,Russian Empire / USSR,CHR-MOD-0008,6962.6,0.472,0.787,0.6059,0.788,68.6,0.737,46.5,36.6,0.505,42.8,17.7,0.3604,0.6185,0.5271,0.1398,0.232,0.4202,0.3875,-0.1983,0.5627,0.6006,0.389253,CMN,BRACKET_BASE,false,true,0.7658862000000001,0.55378365,0.84631536,,0.409,false
EVT-MOD-0009,Popular Uprising of Empire of Japan (Meiji/Imperial),1907,modern,revolution,East Asia,Empire of Japan (Meiji/Imperial),CHR-MOD-0009,2502.9,0.621,0.823,0.2429,0.81,78.7,0.7985,48.9,36.6,0.5308,70.7,42.1,0.5187,0.5542,0.4099,0.0413,0.2396,0.5571,0.3604,0.0029,0.4195,0.5006,0.395214,CMN,BRACKET_BASE,false,true,0.82990275,0.64975,0.7945000000000001,,0.3989,false
EVT-MOD-0010,Constitutional Reorganization of United States,1878,modern,transformation,North America,United States,CHR-MOD-0010,6901.5,0.529,0.273,0.7388,0.837,71,0.7735,62.7,22.2,0.593,155.5,38.4,0.5573,0.5464,0.6083,0.4987,0.7479,0.8077,0.6418,0.2613,0.3065,0.5319,0.676395,RMD,BRACKET_MEDIUM,false,true,0.37567616,0.38978676,0.34272166,,0.3475,false
