character_id,name,epoch,civilization,region,active_year_start,active_year_end,primary_domain,historical_role,associated_event_id,power_index,network_centrality,legitimacy,rationality,charisma,ideological_extremity,momentum,duration_of_influence_months,actor_volatility,trigger_force,token_impact_score_tis,tim_foundation,tim_dynamics,tim_chaos,mule_clause_risk
CHR-BRO-0001,Astronomer Wilhelm of Ancient Egypt,bronze_and_iron_age,Kingdom of Kush (Kerma/Napata),Nubia,-2657,-2620,Scientific,catalyst,EVT-BRO-0001,0.5051,0.8546,0.5101,0.6518,0.8113,0.7534,0.8164,45,0.5508,0.6296,0.678,1.1061,1.2114,1.1587,false
CHR-BRO-0002,Centurion Adams of Babylonia,bronze_and_iron_age,Babylonia,Mesopotamia,-2570,-2562,Military,architect,EVT-BRO-0002,0.6543,0.7745,0.8168,0.8686,0.64,0.3429,0.6985,148,0.2372,0.672,0.5568,0.834,0.8645,0.773,false
CHR-BRO-0003,Geometer Ashoka of Phoenician City-States,bronze_and_iron_age,Vedic Kingdoms,South Asia,-1151,-1117,Scientific,wildcard,EVT-BRO-0003,0.4834,0.5539,0.3252,0.6947,0.2008,0.5866,0.6041,14,0.446,0.5317,0.4954,0.9986,1.0486,1.0985,false
CHR-BRO-0004,Alchemist Godfrey of Indus Valley (Late),bronze_and_iron_age,Babylonia,Mesopotamia,-1478,-1456,Scientific,wildcard,EVT-BRO-0004,0.7749,0.4194,0.3559,0.4349,0.641,0.339,0.7286,35,0.452,0.7563,0.6056,1.0317,1.0833,1.1348,false
CHR-BRO-0005,Abbess Labarna of Ancient Egypt,bronze_and_iron_age,Western Zhou Dynasty,East Asia,-1845,-1819,Religious,disruptor,EVT-BRO-0005,0.7383,0.8066,0.4644,0.5471,0.8525,0.7422,0.9342,43,0.5975,0.8166,0.7611,1.2401,1.25,1.25,true
CHR-BRO-0006,Archon Hathor of Babylonia,bronze_and_iron_age,Hittite Empire,Anatolia,-3056,-3024,Political,disruptor,EVT-BRO-0006,0.7379,0.771,0.3678,0.6314,0.8222,0.9458,0.8447,33,0.6572,0.7806,0.7737,1.2444,1.25,1.25,true
CHR-BRO-0007,Centurion Cao of Elamite Empire,bronze_and_iron_age,Shang Dynasty,East Asia,-1993,-1979,Military,architect,EVT-BRO-0007,0.6532,0.6406,0.848,0.9109,0.7618,0.2083,0.7025,97,0.1487,0.6729,0.5299,0.8274,0.8576,0.7668,false
CHR-BRO-0008,Cardinal Colbert of Babylonia,bronze_and_iron_age,Vedic Kingdoms,South Asia,-1185,-1179,Religious,architect,EVT-BRO-0008,0.8658,0.7456,0.73,0.8469,0.7259,0.1995,0.6824,77,0.1763,0.7924,0.6041,0.8456,0.8765,0.7837,false
CHR-BRO-0009,Philosopher Labarna of Assyrian Empire,bronze_and_iron_age,Hittite Empire,Anatolia,-2386,-2349,Cultural,architect,EVT-BRO-0009,0.8947,0.7996,0.8489,0.8543,0.6444,0.4418,0.5512,162,0.2937,0.7573,0.6116,0.8475,0.8785,0.7854,false
CHR-BRO-0010,Polymath Tiglath of Elamite Empire,bronze_and_iron_age,Ancient Egypt,North Africa / Nile,-2425,-2392,Scientific,stabilizer,EVT-BRO-0010,0.6864,0.7706,0.7679,0.8889,0.534,0.2613,0.6452,38,0.1862,0.6699,0.532,0.8279,0.8582,0.7673,false
CHR-BRO-0011,Physician Naram-Sin of Assyrian Empire,bronze_and_iron_age,Vedic Kingdoms,South Asia,-2781,-2776,Scientific,disruptor,EVT-BRO-0011,0.7912,0.7077,0.2657,0.3606,0.88,0.8362,0.8987,26,0.7378,0.8342,0.8016,1.25,1.25,1.25,true
CHR-BRO-0012,Legate Saladin of Phoenician City-States,bronze_and_iron_age,Vedic Kingdoms,South Asia,-868,-838,Military,stabilizer,EVT-BRO-0012,0.6297,0.7706,0.932,0.7495,0.602,0.2267,0.662,127,0.2386,0.6426,0.5159,0.8239,0.8541,0.7636,false
CHR-BRO-0013,Physician Sherman of Ancient Egypt,bronze_and_iron_age,Elamite Empire,Ancient Iran,-1895,-1865,Scientific,wildcard,EVT-BRO-0013,0.8885,0.5081,0.2378,0.5419,0.6834,0.5297,0.5354,5,0.4939,0.7473,0.6597,1.0479,1.1003,1.1527,false
CHR-BRO-0014,Customs Director Telepinu of Phoenician City-States,bronze_and_iron_age,Ancient Egypt,North Africa / Nile,-1003,-966,Economic,catalyst,EVT-BRO-0014,0.7416,0.6656,0.6411,0.6498,0.9462,0.5337,0.9117,53,0.4419,0.8096,0.6974,1.1122,1.2181,1.1651,false
CHR-BRO-0015,Warlord Saladin of Vedic Kingdoms,bronze_and_iron_age,Ancient Egypt,North Africa / Nile,-1986,-1972,Military,architect,EVT-BRO-0015,0.872,0.8593,0.7601,0.8165,0.6711,0.446,0.5561,127,0.3148,0.7456,0.631,0.8522,0.8834,0.7899,false
CHR-BRO-0016,Scribe Rajaraja of Kingdom of Kush (Kerma/Napata),bronze_and_iron_age,Ancient Egypt,North Africa / Nile,-1711,-1668,Cultural,disruptor,EVT-BRO-0016,0.694,0.6613,0.2358,0.3566,0.8624,0.7466,0.9314,41,0.695,0.789,0.7623,1.2405,1.25,1.25,true
CHR-BRO-0017,Merchant Prince Ibn-Sina of Kingdom of Kush (Kerma/Napata),bronze_and_iron_age,Kingdom of Kush (Kerma/Napata),Nubia,-1986,-1967,Economic,wildcard,EVT-BRO-0017,0.5417,0.8419,0.3506,0.5779,0.3133,0.825,0.5959,67,0.6235,0.5634,0.6079,1.0324,1.084,1.1356,false
CHR-BRO-0018,Archon Vikram of Western Zhou Dynasty,bronze_and_iron_age,Assyrian Empire,Near East,-835,-800,Political,wildcard,EVT-BRO-0018,0.6331,0.6804,0.7298,0.3774,0.6053,0.7531,0.4253,26,0.6878,0.55,0.586,1.0258,1.0771,1.1284,false
CHR-BRO-0019,Polymath Marshall of Kingdom of Kush (Kerma/Napata),bronze_and_iron_age,Mycenaean Greece,Aegean,-2079,-2060,Scientific,stabilizer,EVT-BRO-0019,0.618,0.6914,0.7721,0.8208,0.4784,0.1801,0.6027,185,0.1797,0.6119,0.4791,0.8149,0.8447,0.7552,false
CHR-BRO-0020,Chancellor Mentuhotep of Minoan Civilization,bronze_and_iron_age,Western Zhou Dynasty,East Asia,-2042,-1997,Political,stabilizer,EVT-BRO-0020,0.76,0.7353,0.8259,0.697,0.6373,0.2975,0.5298,187,0.3003,0.6679,0.5525,0.8329,0.8634,0.772,false
