event_id,name,year,epoch,category,region,civilization,primary_actor_id,gdp_per_capita_usd,gini_inequality,political_event_density,historical_epoch_score_E,average_income_score,literacy_rate_pct,social_range_score_S,life_expectancy_years,birth_rate_per_1000,age_range_score_A,population_density_sqkm,urbanization_rate_pct,population_range_score_P,cth_before,cth_prelude,cth_during,cth_transition,cth_after,cth_global,delta_cth,black_swan_index,evei,ultra_cth,prediction,certainty_bracket,alphabreak,recommend_anchor,foundation_risk,dynamics_risk,chaos_risk,temporal_risk,butterfly_risk,mule_clause_active
EVT-BRO-0001,Mechanical Power Harnessing in Elamite Empire,-1071,bronze_and_iron_age,technological,Ancient Iran,Elamite Empire,CHR-BRO-0001,639.4,0.482,0.651,0.5121,0.291,4.6,0.1685,24.9,39.5,0.2898,10.1,5.2,0.1934,0.1922,0.2295,0.32,0.4658,0.3922,0.3199,0.2,0.3904,0.69,0.48362,CMN,BRACKET_BASE,false,true,0.6570234,0.5263533,0.65686703,,0.2894,false
EVT-BRO-0002,Harbor Incursion Sickness in Elamite Empire,-1028,bronze_and_iron_age,pandemic,Ancient Iran,Elamite Empire,CHR-BRO-0002,412.7,0.641,0.741,0.1988,0.721,4.6,0.3835,22.3,44.4,0.2912,12.3,2,0.1917,0.3649,0.2962,0,0.1074,0.348,0.2233,-0.0169,0.6053,0.6594,0.512165,CMN,BRACKET_BASE,false,true,0.6181608,0.39654615000000004,0.47817780000000004,,0.4054,false
EVT-BRO-0003,Military Coup dՃtat in Phoenician City-States,-2493,bronze_and_iron_age,revolution,Levant,Phoenician City-States,CHR-BRO-0003,755.4,0.409,0.677,0.6483,0.286,4.8,0.167,28.2,41.2,0.3355,6.1,8.1,0.1714,0.3371,0.2318,0,0.2715,0.3176,0.2316,-0.0195,0.7022,0.6435,0.433009,CMN,BRACKET_BASE,false,true,0.76253096,0.47249916,0.6832670000000001,,0.398,false
EVT-BRO-0004,Navigational Instrument Reform in Sumer & Akkad,-2358,bronze_and_iron_age,technological,Mesopotamia,Sumer & Akkad,CHR-BRO-0004,524.4,0.415,0.355,0.4999,0.473,5.1,0.262,22,41.9,0.2729,5.4,8.5,0.1646,0.237,0.2657,0.3592,0.455,0.3761,0.3386,0.1391,0.4523,0.663,0.790543,RMD,BRACKET_HIGH,true,false,0.46973301,0.46646898,0.68156088,,0.2757,false
EVT-BRO-0005,Epidemic Fever Outbreak across Babylonia,-2763,bronze_and_iron_age,pandemic,Mesopotamia,Babylonia,CHR-BRO-0005,477.1,0.418,0.69,0.3488,0.229,2.1,0.125,24.5,45.4,0.3209,7.4,5.9,0.1744,0.323,0.2861,0,0.1735,0.2985,0.2162,-0.0245,0.9092,0.7513,0.417662,CMN,BRACKET_BASE,false,true,0.87575862,0.553,0.774,,0.3944,true
EVT-BRO-0006,Monastic Network Expansion of Shang Dynasty,-1108,bronze_and_iron_age,religious,East Asia,Shang Dynasty,CHR-BRO-0006,667.7,0.386,0.23,0.697,0.696,2.9,0.3625,27,46.3,0.3532,7.9,6.4,0.1816,0.3621,0.36,0.2236,0.3178,0.6061,0.3739,0.244,0.3062,0.6264,0.412333,CMN,BRACKET_BASE,false,true,0.7554752399999999,0.5655,0.601375,,0.3754,false
EVT-BRO-0007,Fiscal Modernization in Minoan Civilization,-1767,bronze_and_iron_age,transformation,Aegean / Crete,Minoan Civilization,CHR-BRO-0007,464.8,0.52,0.721,0.2959,0.656,2.8,0.342,23.1,47.2,0.3166,3.8,2.7,0.1101,0.1523,0.2169,0.1205,0.268,0.2589,0.2033,0.1066,0.2249,0.6006,0.682273,RMD,BRACKET_MEDIUM,false,false,0.52175844,0.36310784,0.36484344,,0.3009,false
EVT-BRO-0008,Synod Monotheistic Mandate in Hittite Empire,-845,bronze_and_iron_age,religious,Anatolia,Hittite Empire,CHR-BRO-0008,482.3,0.361,0.777,0.3452,0.539,1.2,0.2755,28,46.8,0.367,10.1,7.1,0.2029,0.2863,0.2575,0.0821,0.2119,0.5087,0.2693,0.2224,0.33,0.6844,0.711059,RMD,BRACKET_HIGH,false,false,0.56223944,0.3947756,0.38769638999999995,,0.3921,false
EVT-BRO-0009,Judicial Standard Reform in Mycenaean Greece,-1348,bronze_and_iron_age,transformation,Aegean,Mycenaean Greece,CHR-BRO-0009,427.3,0.668,0.477,0.2852,0.275,2.3,0.149,27.2,38.1,0.3061,1.9,8,0.0865,0.1042,0.1276,0.075,0.3181,0.2656,0.1781,0.1614,0.1096,0.6335,0.706584,RMD,BRACKET_HIGH,false,false,0.475956,0.37801855,0.3196578,,0.3213,false
EVT-BRO-0010,Mechanical Power Harnessing in Ancient Egypt,-1817,bronze_and_iron_age,technological,North Africa / Nile,Ancient Egypt,CHR-BRO-0010,711.7,0.392,0.606,0.6287,0.583,3.1,0.307,24,40.1,0.2837,6.2,4.3,0.1536,0.2507,0.3014,0.3724,0.4395,0.5175,0.3763,0.2668,0.4394,0.701,0.692281,RMD,BRACKET_MEDIUM,false,false,0.42405037999999995,0.36971256,0.41725773999999993,,0.3034,false
